E M
-2.44596 -0.551872
-2.44559 -0.547673
-2.44523 -0.543403
-2.44488 -0.539066
-2.44452 -0.53466
-2.44417 -0.530187
-2.44383 -0.525647
-2.44348 -0.521041
-2.44314 -0.51637
-2.4428 -0.511635
-2.44246 -0.506835
-2.44213 -0.501972
-2.4418 -0.497046
-2.44147 -0.492058
-2.44115 -0.487008
-2.44082 -0.481898
-2.4405 -0.476727
-2.44019 -0.471497
-2.43987 -0.466207
-2.43956 -0.460859
-2.43925 -0.455453
-2.43894 -0.449989
-2.43864 -0.444469
-2.43834 -0.438893
-2.43804 -0.433261
-2.43774 -0.427573
-2.43744 -0.421832
-2.43715 -0.416036
-2.43686 -0.410187
-2.43657 -0.404285
-2.43629 -0.39833
-2.43601 -0.392324
-2.43573 -0.386266
-2.43545 -0.380158
-2.43517 -0.373999
-2.4349 -0.36779
-2.43463 -0.361532
-2.43436 -0.355226
-2.43409 -0.348871
-2.43382 -0.342468
-2.43356 -0.336018
-2.4333 -0.329521
-2.43304 -0.322978
-2.43278 -0.316389
-2.43253 -0.309754
-2.43228 -0.303075
-2.43203 -0.296351
-2.43178 -0.289583
-2.43153 -0.282772
-2.43129 -0.275917
-2.43104 -0.26902
-2.4308 -0.262081
-2.43057 -0.2551
-2.43033 -0.248077
-2.43009 -0.241014
-2.42986 -0.23391
-2.42963 -0.226767
-2.4294 -0.219583
-2.42917 -0.212361
-2.42895 -0.2051
-2.42872 -0.1978
-2.4285 -0.190463
-2.42828 -0.183088
-2.42806 -0.175676
-2.42785 -0.168227
-2.42763 -0.160742
-2.42742 -0.153221
-2.42721 -0.145664
-2.427 -0.138073
-2.42679 -0.130446
-2.42659 -0.122786
-2.42638 -0.115091
-2.42618 -0.107363
-2.42598 -0.099601
-2.42578 -0.0918067
-2.42558 -0.0839799
-2.42539 -0.0761209
-2.42519 -0.0682302
-2.425 -0.0603082
-2.42481 -0.0523551
-2.42462 -0.0443714
-2.42443 -0.0363574
-2.42424 -0.0283134
-2.42406 -0.0202398
-2.42387 -0.012137
-2.42369 -0.00400526
-2.42351 0.00415503
-2.42333 0.0123435
-2.42316 0.0205599
-2.42298 0.0288039
-2.42281 0.037075
-2.42263 0.0453731
-2.42246 0.0536976
-2.42229 0.0620484
-2.42212 0.0704251
-2.42196 0.0788274
-2.42179 0.087255
-2.42163 0.0957074
-2.42146 0.104184
-2.4213 0.112686
-2.42114 0.121211
-2.42098 0.12976
-2.42082 0.138333
-2.42067 0.146928
-2.42051 0.155546
-2.42036 0.164187
-2.42021 0.17285
-2.42006 0.181535
-2.41991 0.190241
-2.41976 0.198968
-2.41961 0.207717
-2.41947 0.216486
-2.41933 0.225275
