E M
-2.80502 0.192769
-2.80511 0.192164
-2.8052 0.19156
-2.80529 0.190956
-2.80538 0.190353
-2.80547 0.189751
-2.80556 0.18915
-2.80565 0.18855
-2.80574 0.18795
-2.80583 0.187351
-2.80592 0.186753
-2.80601 0.186155
-2.8061 0.185559
-2.80619 0.184962
-2.80628 0.184367
-2.80637 0.183773
-2.80646 0.183179
-2.80655 0.182586
-2.80664 0.181993
-2.80673 0.181402
-2.80682 0.180811
-2.80691 0.180221
-2.807 0.179631
-2.80709 0.179043
-2.80718 0.178455
-2.80727 0.177868
-2.80736 0.177281
-2.80745 0.176696
-2.80754 0.176111
-2.80763 0.175527
-2.80772 0.174943
-2.80781 0.17436
-2.8079 0.173779
-2.80799 0.173197
-2.80809 0.172617
-2.80818 0.172037
-2.80827 0.171458
-2.80836 0.17088
-2.80845 0.170302
-2.80854 0.169726
-2.80863 0.16915
-2.80872 0.168574
-2.80882 0.168
-2.80891 0.167426
-2.809 0.166853
-2.80909 0.166281
-2.80918 0.165709
-2.80927 0.165138
-2.80936 0.164568
-2.80946 0.163999
-2.80955 0.16343
-2.80964 0.162862
-2.80973 0.162295
-2.80982 0.161729
-2.80991 0.161163
-2.81001 0.160598
-2.8101 0.160034
-2.81019 0.159471
-2.81028 0.158908
-2.81038 0.158346
-2.81047 0.157785
-2.81056 0.157225
-2.81065 0.156665
-2.81074 0.156106
-2.81084 0.155548
-2.81093 0.154991
-2.81102 0.154434
-2.81111 0.153878
-2.81121 0.153323
-2.8113 0.152768
-2.81139 0.152215
-2.81148 0.151662
-2.81158 0.151109
-2.81167 0.150558
-2.81176 0.150007
-2.81186 0.149457
-2.81195 0.148908
-2.81204 0.14836
-2.81213 0.147812
-2.81223 0.147265
-2.81232 0.146719
-2.81241 0.146173
-2.81251 0.145628
-2.8126 0.145084
-2.81269 0.144541
-2.81279 0.143998
-2.81288 0.143457
-2.81297 0.142916
-2.81307 0.142375
-2.81316 0.141836
-2.81325 0.141297
-2.81335 0.140759
-2.81344 0.140222
-2.81353 0.139685
-2.81363 0.139149
-2.81372 0.138614
-2.81381 0.13808
-2.81391 0.137546
-2.814 0.137013
-2.8141 0.136481
-2.81419 0.13595
-2.81428 0.135419
-2.81438 0.13489
-2.81447 0.134361
-2.81457 0.133832
-2.81466 0.133305
-2.81475 0.132778
-2.81485 0.132252
-2.81494 0.131726
-2.81504 0.131202
-2.81513 0.130678
-2.81523 0.130155
-2.81532 0.129632
-2.81542 0.129111
-2.81551 0.12859
-2.8156 0.12807
-2.8157 0.12755
-2.81579 0.127032
-2.81589 0.126514
-2.81598 0.125997
-2.81608 0.12548
-2.81617 0.124964
-2.81627 0.12445
-2.81636 0.123935
-2.81646 0.123422
-2.81655 0.122909
-2.81665 0.122397
-2.81674 0.121886
-2.81684 0.121376
-2.81693 0.120866
-2.81703 0.120357
-2.81712 0.119849
-2.81722 0.119342
-2.81731 0.118835
-2.81741 0.118329
-2.8175 0.117824
-2.8176 0.117319
-2.8177 0.116816
-2.81779 0.116313
-2.81789 0.11581
-2.81798 0.115309
-2.81808 0.114808
-2.81817 0.114308
-2.81827 0.113809
-2.81836 0.113311
-2.81846 0.112813
-2.81856 0.112316
-2.81865 0.11182
-2.81875 0.111324
-2.81884 0.110829
-2.81894 0.110335
-2.81904 0.109842
-2.81913 0.10935
-2.81923 0.108858
-2.81932 0.108367
-2.81942 0.107877
-2.81952 0.107387
-2.81961 0.106898
-2.81971 0.10641
-2.81981 0.105923
-2.8199 0.105437
-2.82 0.104951
-2.82009 0.104466
